"Category","Topic","User Question","Tricky User Question","Expected Answer","Source","Priority","Confidence","Reason for Adding","Related Feedback / Experiment","Status","Notes for KB Team"
"Firmenfitness","Sachbezug amount","Kann der steuerfreie Sachbezug genutzt werden?","Wie viel vom Beitrag ist steuerfrei?","Ja — der steuerfreie Sachbezug (aktuell 50 € brutto/Monat) kann als Zuschuss genutzt werden, kombiniert mit dem Eigenanteil. Für konkrete steuerliche Fragen ans Steuerbüro verweisen.","KB doc2 §8; doc5 §4","Medium","Medium","Legal amount; verify current value.","—","Needs Update","Confirm the 50 € Sachbezug figure is still current."
"Firmenfitness","Minimum company size","Gibt es eine Mindestanzahl an Mitarbeitenden?","Können wir das auch als kleines 3-Personen-Büro machen?","Nein, es gibt keine Mindestgröße — auch Einzelunternehmer/kleine Teams können teilnehmen.","KB doc2 §8; doc4 §8","Low","High","Already covered.","—","Already Covered",""
"Cancellation","Correct cancellation channel","Wie kündige ich meine Mitgliedschaft?","Kann ich einfach in der App oder über das Kontaktformular kündigen?","Über das dedizierte Kündigungsformular ('Sportnavi kündigen | Vertrag einfach beenden'), NICHT das allgemeine Kontaktformular. E-Mail an info@sportnavi.de ist eine Alternative. Frist: 1 Monat zum Ende eines Kalendermonats.","Feedback2.docx (Tester-Korrektur)","High","High","KB names the generic contact form — wrong channel.","Feedback issue #3","Needs Update","Add the Kündigungsformular URL; update doc5 §6 and the summary."
"Cancellation","Cancellation confirmation","Bekomme ich eine Bestätigung meiner Kündigung?","Woher weiß ich, dass meine Kündigung angekommen ist?","TBD — bitte dokumentieren, ob/wie eine Kündigungsbestätigung versendet wird.","—","Medium","Low","Common reassurance question; not documented.","—","Missing","Confirm confirmation process/timeline."
"Cancellation","Downgrade deadline worked example","Bis wann muss ich ein Downgrade beantragen und ab wann gilt es?","Ich will zum 1. Mai runterstufen — bis wann muss der Antrag raus?","TBD — eindeutigen Ablauf mit Beispiel bestätigen: Antrag bis zum 20. → wirksam zum nächsten Monatsersten ODER erst nach vollem Kalendermonat?","FEEDBACK-ANALYSIS.md issue #9","Low","Low","KB is ambiguous; bot guessed the customer-friendly reading.","Feedback issue #9","Needs Update","Clarify exact downgrade timeline and add one worked example."
"Referral Program","Referral premium timing","Wann bekomme ich die Werbeprämie?","Mein Kumpel hat sich vor einer Woche angemeldet — wo bleibt meine Prämie?","Die Prämie wird automatisch nach 3 Monaten der Mitgliedschaft des geworbenen Mitglieds gutgeschrieben (Firmenfitness-Anmeldungen ausgenommen).","Feedback2.docx (Tester-Korrektur)","High","High","KB silent on timing; bot said 'immediately' (hallucination).","Feedback issue #6","Needs Update","Add the 3-month condition to the Family-&-Friends sections + glossary."
"Referral Program","Referral premium amount","Wie hoch ist die Werbeprämie?","Was springt für mich dabei raus, wenn ich jemanden werbe?","TBD — Prämienhöhe/Form (Guthaben, Gutschein?) dokumentieren.","—","Medium","Low","Obvious follow-up; not documented.","—","Missing","Confirm premium value and form."
"Family & Friends","Family & Friends mechanics","Wie funktioniert Family & Friends genau?","Kann ich meine Frau/meinen Freund mit anmelden und was kostet das?","TBD — genaue Bedingungen, Ablauf und Kosten dokumentieren. Aktuell nennt die KB nur die Existenz der Aktion.","KB doc2 §4 (nur erwähnt)","Medium","Low","KB mentions it but explains nothing; likely asked.","—","Missing","Document eligibility, steps, cost, exclusions."
"Eligibility","Family / child / student tariff","Gibt es einen Kinder-, Familien- oder Studententarif?","Kann mein 15-jähriger Sohn auch mitmachen?","Spezielle Kinder-/Jugend- oder Studententarife sind nicht vorgesehen; unter Umständen ist eine Anmeldung über Family & Friends möglich.","KB doc2 §4","Low","Medium","Covered but thin; tie to minors-eligibility gap below.","—","Already Covered","See 'Minimum age' row — real minors rule is undocumented."
"Pricing & Tariffs","Exact private tariff prices","Was kostet der 5-Sterne-Tarif pro Monat?","Was ist der günstigste Tarif und was kann der alles?","Aktuelle Website-Preise: 3-Sterne 49,90 € · 4-Sterne 74,90 € · 5-Sterne 139,90 € pro Monat. (Preise können sich ändern — im Zweifel sportnavi.de/fuer-mitglieder/tarife/ prüfen.)","sportnavi.de/fuer-mitglieder/tarife/","High","Medium","KB only says 'see website' → the #1 hallucination trap (bot deferred/guessed).","Eval sample-036 (hallucination-trap, exact price)","Missing","Add current prices to KB AND set a review cadence — prices drift."
"Pricing & Tariffs","What each tariff includes","Was ist im 3-Sterne enthalten und was im 5-Sterne?","Lohnt sich der teure Tarif für mich, wenn ich nur schwimmen gehe?","3-Sterne (49,90 €): 1.500+ Angebote, Fokus Schwimmen/Fitness, einige Nutzungseinschränkungen. 4-Sterne (74,90 €, beliebtester): 5.000+ Angebote, Kurse, Cashback, Pause, mehrere Check-ins/Tag. 5-Sterne (139,90 €): maximaler Umfang.","sportnavi.de/fuer-mitglieder/tarife/","Medium","Medium","KB tariff descriptions are vague vs. the website detail.","—","Needs Update","Enrich tariff descriptions with offering counts + inclusions from the site."
"Pricing & Tariffs","Current promotions","Gibt es gerade eine Aktion oder einen Rabatt?","Habt ihr einen Neukunden-Rabatt oder Gutscheincode?","TBD — aktuelle Aktionen/Promotions dokumentieren und aktuell halten (KB weist nur darauf hin, dass Beiträge in Aktionen abweichen können).","KB doc1/doc2","Low","Low","Time-sensitive; needs an owned, updatable field.","—","Missing","Decide who keeps promotions current; add a dated field."
"Membership Changes","Employer change / coverage gap","Ich wechsle den Arbeitgeber (beide bieten Sportnavi) — was passiert?","Wechsle ich am 10. den Job — entsteht eine Lücke bei meiner Mitgliedschaft?","Die bestehende Firmenfitness-Mitgliedschaft zuerst kündigen (2 Wochen zum Monatsende), dann über den neuen Arbeitgeber neu anmelden. Je nach Zeitpunkt kann eine kurze Lücke entstehen; bei Bedarf privat überbrücken (info@sportnavi.de).","KB doc4 §1","Medium","High","Covered; keep aligned with corrected notice-period fact.","Eval sample-025 (edge-case)","Already Covered","Ensure '2 weeks' matches the corrected Firmenfitness notice fact."
"Membership Changes","Reactivation","Wie reaktiviere ich eine beendete Mitgliedschaft?","Ich war mal dabei und will wieder rein — geht das einfach?","Zur Reaktivierung ist eine Neuanmeldung über die Anmeldeseite nötig.","KB doc2 §4","Low","High","Covered.","—","Already Covered",""
"App & Check-in","Check-in frequency (2h vs 'multiple daily')","Wie oft kann ich pro Tag einchecken?","Kann ich morgens ins Gym und abends noch schwimmen?","KB: alle 2 Stunden ein neuer Check-in. Website nennt für 4/5-Sterne 'mehrere Check-ins täglich'. TBD — genaue Regel bestätigen und beide Quellen angleichen.","KB doc3 vs. sportnavi.de/fuer-mitglieder/tarife/","Medium","Medium","Two sources disagree (2h interval vs 'multiple daily').","—","Needs Update","Reconcile the 2-hour rule with the tariff-page 'multiple check-ins'."
"App & Check-in","No QR code available","Wie checke ich ein, wenn kein QR-Code da ist?","Beim Partner hängt kein Code — was mache ich?","Standort-basierten Check-in nutzen: Standortfreigabe in der App erlauben und vor Ort beim Partner sein.","KB doc1 §7; doc4 §4","Low","High","Covered.","—","Already Covered",""
"App & Check-in","Device switch / one device","Kann ich die App auf zwei Geräten nutzen / das Gerät wechseln?","Ich habe ein neues Handy — komme ich noch rein?","Nur ein Gerät gleichzeitig. Gerätewechsel nach 30 Tagen; bei Verlust/Fehlermeldung direkt den Support kontaktieren.","KB doc2 §7","Low","High","Covered.","—","Already Covered",""
"App & Check-in","Supported devices / OS","Welche Geräte werden von der App unterstützt?","Läuft die App auf meinem alten Android?","Smartphone mit intakter Frontkamera, mobile Daten, mindestens Android 6.0 oder iOS 9.0.","KB doc2 §7","Low","High","Covered.","Eval sample-018","Already Covered",""
"Online Courses","Missing access link","Ich habe mich für einen Online-Kurs angemeldet, aber keinen Link erhalten.","Wo kriege ich den Zugangslink für den Kurs her?","Der Zugangslink wird vom jeweiligen Partner verschickt. Bitte direkt an den Partner wenden.","KB doc2 §8","Medium","High","Covered but frequent support driver.","—","Already Covered",""
"Online Courses","Course catalogue","Welche Online-Kurse gibt es (z. B. Meditation, Mental Health)?","Habt ihr auch Yoga/Meditation online?","TBD — Website nennt Fitness-, Meditations- und Mental-Health-Kurse; das genaue Angebot ist in der App. Katalog/Kategorien dokumentieren.","sportnavi.de/fuer-mitglieder/","Medium","Low","KB is thin on what online content exists.","—","Missing","Document online-course categories + where to find them."
"Online Courses","Online courses during a pause","Kann ich Online-Kurse während meiner Pause nutzen?","Zählen Online-Kurse auch als Nutzung, die meine Pause beendet?","Ja — auch die Nutzung von Online-Kursen während der Pause hebt die Pause auf und löst den Monatsbeitrag aus (siehe Pause-Korrektur).","Abgeleitet aus Feedback issue #1","Medium","Medium","Ties to the pause-usage correction; currently KB says 'nicht zugänglich'.","Feedback issue #1","Needs Update","Align doc5 online-course-during-pause answer with the pause-usage fix."
"Payments","Failed SEPA direct debit","Meine Lastschrift wurde zurückgebucht — was passiert jetzt?","Werde ich sofort gesperrt, wenn die Abbuchung fehlschlägt?","TBD — Ablauf, Fristen und ob/wann eine Sperrung erfolgt, dokumentieren. Aktuell nur 'umgehend bei Sportnavi melden'.","KB doc4 §14","Medium","Low","Real support driver; consequences undocumented.","—","Missing","Document rebooking/dunning process and access impact."
"Payments","Change bank details","Wie ändere ich meine Bankverbindung?","Ich habe ein neues Konto — wo trage ich das ein?","Für die Änderung ein neues SEPA-Lastschriftmandat über das SEPA-Formular auf sportnavi.de erteilen.","KB doc2 §4","Low","High","Covered.","—","Already Covered",""
"Payments","Invoice / contribution statement","Ich brauche eine Rechnung über meine Beiträge.","Könnt ihr mir eine Beitragsübersicht für die Steuer schicken?","Eine kurze E-Mail an info@sportnavi.de mit deinem Anliegen und (falls griffbereit) deiner Mitgliedsnummer — das Team stellt dir die Rechnung/Übersicht bereit.","Feedback Chatbot.docx (Tester-Szenario)","Medium","Medium","Tester tested this; not clearly in KB.","Feedback (Tester 1)","Missing","Add an 'invoice request' FAQ entry."
"Support & Contact","Support hours (8:30 vs 9:00)","Wann ist der Sportnavi-Support erreichbar?","Kann ich morgens um kurz vor 9 schon anrufen?","Telefon 05246 9342000, Montag–Freitag 8:30–17:00 Uhr (Website); E-Mail info@sportnavi.de.","sportnavi.de/faq/mitglieder-allgemeines/","High","High","KB says 9:00–17:00, website says 8:30–17:00 — factual conflict.","Website vs KB","Needs Update","Reconcile opening time; update every KB contact block (currently '9:00')."
"Support & Contact","In-person consultation","Kann ich mich persönlich beraten lassen?","Kann ich bei euch vorbeikommen und mich beraten lassen?","Telefonberatung Mo–Fr 8:30–17:00 Uhr; persönliche Termine am Standort Gütersloh sind auf Anfrage möglich.","sportnavi.de/faq/mitglieder-allgemeines/","Low","Medium","On the website, not in the KB.","—","Missing","Add in-person/appointment option + address."
"Regional Availability","Coverage / find local partners","Ist Sportnavi in meiner Stadt verfügbar?","Gibt es Partner in [kleinere Stadt] in meiner Nähe?","Sportnavi ist deutschlandweit verfügbar (8.500+ Partner-Angebote). Ob es in deiner Nähe Partner gibt, prüfst du am besten über die Partner-Standorte-Karte auf der Website oder in der App.","sportnavi.de/fuer-mitglieder/","Medium","Medium","KB has no coverage/how-to-check-region guidance; common pre-signup question.","—","Missing","Add pointer to Partner-Standorte map + '8.500+ Angebote' framing."
"Eligibility","Minimum age / minors","Ab welchem Alter kann ich Mitglied werden?","Kann mein 16-jähriges Kind alleine eine Mitgliedschaft abschließen?","TBD — Mindestalter und Regelung für Minderjährige (Einverständnis der Eltern?) dokumentieren.","—","Medium","Low","Not in KB; realistic and legally relevant.","—","Missing","Confirm minimum age + minors policy."
"Eligibility","Partner access by tariff","Kann ich als 3-Sterne-Mitglied einen höherwertigen Partner nutzen?","Mein Wunschstudio ist nur für 5-Sterne — komme ich da als 3-Sterne rein?","Manche Partner sind exklusiv für höhere Tarife oder Firmenkunden. Bei anderen zahlst du als 3-Sterne einen vergünstigten Preis vor Ort. Die genauen Konditionen stehen in der Angebotsbeschreibung des Partners in der App.","KB doc4 §9","Medium","High","Covered but nuanced; keep clear.","Eval sample-042 area","Already Covered",""
"Fitness-Check","Reimbursement amount / cap","Wie viel vom Fitness-Check wird erstattet?","Bekomme ich den ganzen Fitness-Check erstattet oder nur einen Teil?","TBD — Erstattungshöhe/Obergrenze dokumentieren. Bekannt: einmal pro 12 Monate, per Überweisung nach Einreichung des Belegs.","KB doc2 §6; doc4 §12","Medium","Low","Amount/cap undocumented; users ask before paying.","—","Missing","Confirm reimbursement amount or cap."
"Vouchers","Voucher validity / expiry","Hat der Sportnavi-Gutschein ein Ablaufdatum?","Wie lange kann ich einen geschenkten Gutschein einlösen?","TBD — Gültigkeit/Ablauf des Gutscheins dokumentieren. Bekannt: 1 Monat Laufzeit, endet automatisch ohne Kündigung.","KB doc4 §7","Low","Low","Validity window undocumented.","—","Missing","Confirm voucher expiry rules."
"Data & Privacy","Data deletion (DSGVO)","Wie kann ich meine Daten löschen lassen?","Ich möchte alle meine Daten gelöscht haben — an wen wende ich mich?","Für Datenschutz-/Löschanfragen an info@sportnavi.de wenden (Sportnavi.de GmbH, Verler Straße 6, 33332 Gütersloh).","KB doc4 §10","Low","High","Covered briefly.","—","Already Covered","Consider a dedicated privacy contact if one exists."
